id,title,summary,body,target
"4905","生活福祉資金制度による貸付（緊急小口資金・福祉費（災害援護費）","金融機関等からの借入が困難な低所得世帯、障害者世帯や高齢者世帯に対して、経済的な自立と生活の安定を図ることために必要な経費を貸し付けます。","* 生活福祉資金は、金融機関等からの借入が困難な低所得世帯、障害者世帯や高齢者世帯に対して、経済的な自立と生活の安定を図ることために必要な経費を貸し付けるものです。* 生活福祉資金には、「緊急かつ一時的に生計の維持が困難となった場合の少額の費用（緊急小口資金）」や「災害を受けたことにより臨時に必要となる費用（福祉費（災害援護費））」についての貸付があります。それぞれの貸付限度額等は次のとおりです。■緊急小口資金<table><tbody><tr><th>貸付限度額</th><td>10万円以内</td></tr><tr><th>貸 付 利 率</th><td>無利子</td></tr><tr><th>据 置 期 間</th><td>貸付けの日から2月以内</td></tr><tr><th>償 還 期 間</th><td>据置期間経過後12月以内</td></tr></tbody></table>■福士費（災害援護費）<table><tbody><tr><th>貸付限度額</th><td>150万円（目安）</td></tr><tr><th>貸 付 利 率</th><td>連帯保証人を立てた場合:無利子<br />連帯保証人を立てない場合:年1.5%</td></tr><tr><th>据 置 期 間</th><td>貸付けの日から6月以内</td></tr><tr><th>償 還 期 間</th><td>据置期間経過後7年以内（目安）</td></tr></tbody></table>* なお、大規模災害時には、貸付対象世帯の拡大や、据置期間や償還期間の拡大などの特例措置を実施することがあります。* このほか、生活福祉資金には、総合支援資金、教育支援資金、不動産担保型生活資金があります。詳しくは、都道府県社会福祉協議会またはお住まいの地域の市町村社会福祉協議会にご相談ください。","* 低所得世帯、障害者世帯又は高齢者世帯* 福祉費（災害援護費）については、災害弔慰金の支給等に関する法律の災害援護資金の対象となる世帯は適用除外"
"10177","神奈川県新型コロナワクチンポータルサイト","神奈川県の新型コロナワクチンに関する情報をお知らせします","","・新型コロナワクチンの接種をご検討の方や、接種後の副反応を疑う症状について相談したい方など ・新型コロナワクチンの接種を行う医療機関"
"10172","児童扶養手当の認定請求","児童扶養手当を新たに受給する場合は申請が必要です。受給資格および、その額について認定を行います。","","18歳に達する日以後の最初の3月31日までの間にある児童（障害児の場合は20歳未満）を監護する母、監護し、かつ生計を同じくする父または養育する者（祖父母等）。"
"10161","妊娠の届出","医師または助産師の診察を受けるなどして妊娠がわかったら、妊娠の届出をしてください。妊娠の届出をした妊婦さんに母子健康手帳を交付します。","","妊娠した人が妊娠の届出の対象です。"
"10156","神奈川県土砂災害情報ポータル","神奈川県内の土砂災害のおそれのある箇所、危険度に関する情報等をお知らせします","","神奈川県内の土砂災害のおそれのある箇所、危険度に関する情報等を発信しています"
"10148","子育て短期支援事業","保護者の疾病その他の理由により家庭においてこどもを養育することが一時的に困難になった場合等に、一定期間・養育・保護を受けられます。※事業実施に有無は、お住まいの市区町村の福祉部局にご確認ください。","短期入所生活援助（ショートステイ）事業保護者の疾病や仕事等の事由により子どもの養育が一時的に困難となった場合、または育児不安や育児疲れ、慢性疾患児の看病疲れ等の身体的・  精神的負担の軽減が必要な場合に、児童養護施設等で一定期間 （原則7日以内:必要に応じて延長可）子どもを預かる事業。夜間養護等（トワイライトステイ）事業保護者が仕事その他の理由により平日の夜間または休日に不在となることで家庭において子どもを養育することが困難となった場合その他緊急の場合において、その子どもを児童養護施設等において保護し、生活指導、食事の提供等を行う事業。","家庭において養育を受けることが一時的に困難になった児童、緊急一時的に保護することが必要な母子等"
"10134","青年国際交流事業における参加費免除制度","内閣府青年国際交流事業の「世界青年の船」事業において、経済的理由により参加費の納付が困難な者に対し参加費の免除申請制度を実施するもの。","","内閣府青年国際交流事業の「世界青年の船」事業に参加する青年で、独立生計者（※）でない者かつ奨学金受給者、授業料免除者、その他経済的理由により参加費の納付が困難な者は、参加費の免除を申請することができます。（※）独立生計者とは、以下の項目全てに該当する者を指します。①所得税法上、父母等の扶養親族でない者②父母と別居している者③本人（配偶者があるときは、配偶者を含む）に150万円以上の収入があり、その収入について所得申告がなされ、所得証明書が発行される者④父母等（配偶者を除く）から経済的な援助を受けていない者。独立生計の場合は、世帯の構成員は申請者本人（配偶者や子どもがいる場合は含む）のみとなります。"
"10023","食品リサイクルループ(再生利用事業計画認定制度)","食品関連事業者から発生する廃棄物から肥料・飼料を生産し、それを用いて生産した農産物等を食品関連事業者が取り扱う、食品リサイクルループの形成を推進。食品関連事業者とリサイクル業者、農業者等の3者が連携して策定した食品リサイクルループの事業計画について、主務大臣の認定を受けることにより、廃掃業者は廃棄物処理法に基づく収集運搬業の許可（一般廃棄物に限る。）が不要となる特例を活用することが可能。","","食品関連事業者、リサイクル業者、農業者"
"4927","生活保護","生活に困窮している方へ、困窮の程度に応じて必要な保護を行います。","* 生活に現に困窮している方に、生活の保障と自立の助長を図ることを目的に、困窮の程度に応じて必要な保護を行うものです。* 生活保護の受給にあたっては、各種の社会保障施策による支援、不動産等の資産、稼働能力等の活用が保護実施の前提になります。また、扶養義務者による扶養は保護に優先されます。* 生活保護は、生活扶助、教育扶助、住宅扶助、医療扶助、介護扶助、出産扶助、生業扶助及び葬祭扶助から構成されています。医療扶助及び介護扶助は、医療機関等に委託して行う現物給付を原則とし、それ以外は金銭給付が原則です。* 保護の基準は、厚生労働大臣が設定します。生活扶助額の例（※令和4年4月1日時点）<table><thead><tr><th></th><th>東京都区部</th><th>地方郡部等</th></tr></thead><tbody><tr><td>3人世帯（33歳、29歳、4歳）</td><td>156,990円</td><td>137,860円</td></tr><tr><td>高齢者単身世帯（68歳）</td><td>76,880円</td><td>65,200円</td></tr><tr><td>高齢者夫婦世帯（68歳、65歳）</td><td>119,920円</td><td>104,790円</td></tr><tr><td>母子世帯（30歳、4歳、2歳）</td><td>188,780円 </td><td>166,590円</td></tr></tbody></table>","* 資産や能力等すべてを活用した上でも生活に困窮する方が対象です。"
"1415","青年農業者等育成センター","静岡県での新規就農を希望する方への相談対応、静岡県の就農支援制度の紹介等を行っています。","","静岡県での新規就農を希望する方"
"916","県営住宅の家賃減免・徴収猶予および住居を失った方への県営住宅等の一時提供","県営住宅に入居中の方で、新型コロナウイルス感染症の影響により収入が著しく減少した方に対し、家賃の減免や徴収猶予の負担軽減措置を行います。また、解雇等により、住居を失った方に県営住宅および福岡県住宅供給公社賃貸住宅を一時提供します。","【家賃減免】世帯収入が県の定める基準以下となった方について家賃の4分の1～4分の3を減額【徴収猶予】入居者の事情に応じて実施【一時提供】提供期間:最大2年間(6ヶ月ごとの更新)家　　賃:入居する住宅家賃の2分の1","【家賃減免・徴収猶予】県営住宅に入居中の方で、新型コロナウイルス感染症の影響により収入が著しく減少した方【一時提供】解雇等により、住居を失った方"
"10165","児童手当等受給資格者の申出による学校給食費等の徴収等の申出","受給資格者からの申し出により、児童手当等（児童手当または特例給付をいいます。）の額の全部または一部を、学校給食費などの支払にあてることができます。","","児童手当等の受給資格者で、児童手当等からの学校給食費等の徴収を希望する人"
"10130","地域子供の未来応援交付金","「子どもの貧困対策推進法」「経済財政運営と改革の基本方針2022」（令和4年6月7日閣議決定）に基づき、「こども食堂等様々なこどもの居場所づくり等に取り組む」とともに、「こどもの貧困解消や見守り強化を図るため、こども食堂のほか、こども宅食・フードバンク等への支援を推進する」など、地方自治体によるこどもの貧困対策を支援します。","地方公共団体が、食材の提供を伴う事業等について、NPO等に対し委託を行う場合、NPO等が行う事業への補助を行う場合に、その地方公共団体を支援。","都道府県、市区町村"
"10110","宅地防災工事融資","地方公共団体から勧告または改善命令を受けた方に対して、のり面の保護、排水施設の設置、整地、擁壁の設置の工事のための費用を融資します。","* 地方公共団体から、宅地を土砂の流出などによる災害から守るための工事を行うよう勧告または改善命令を受けた方に対して、のり面の保護、排水施設の設置、整地、擁壁の設置（旧擁壁の除去を含みます。）の工事のための費用を融資します。<table><tbody><tr><th>融資限度額</th><td colspan=2>1,190万円</td></tr><tr><th>償還期間</th><td>20年以内</td></tr></tbody></table>※ その他詳細については、独立行政法人住宅金融支援機構ウェブサイトhttps://www.jhf.go.jp/loan/yushi/info/takubo/index.htmlまたは下記のお問い合わせ先にご確認ください。","* 宅地造成等規制法、急傾斜地の崩壊による災害の防止に関する法律、建築基準法に基づき、勧告または改善命令を受けた方が対象です。"
"10068","公営住宅への入居","低所得の被災者の方が公営住宅に入居する支援を行います。","* 低所得の被災者の方は、都道府県または市町村が整備する公営住宅に入居することができます。* 公営住宅の家賃は収入に応じて設定されますが、必要があると認められる場合は、一定期間、家賃が減免されることがあります。","* 以下の要件を満たす方が対象です。住宅困窮要件:災害によって住宅を失い、現に住宅に困窮していることが明らかな方※公営住宅に入居できる世帯の資格要件については、公営住宅を整備する地方公共団体（都道府県、市町村）で別に定める場合があります。"
"10145","高等学校等の専攻科の生徒への支援","高等学校等専攻科に通う低所得世帯の生徒を対象に、授業料に係る支援を行う制度です。","■支給上限額（特別支援学校を除く）* 年収270万円未満程度公立:月額9,900円（年額118,800円）私立:月額35,600円（年額427,200円）※私立の通信制課程は月額12,100円（年額145,200円）* 年収270～380万円未満程度公立:月額4,950円（年額59,400円）私立:月額17,800円（年額213,600円）※私立の通信制課程は月額6,050円（年額72,600円）■支給上限額（特別支援学校）* 年収270万円未満程度国立:月額400円（年額4,800円）公立:月額600円（年額7,200円）私立:月額35,600円（年額427,200円）* 年収270～380万円未満程度国立:月額200円（年額2,400円）公立:月額300円（年額3,600円）私立:月額17,800円（年額213,600円）","高等学校等専攻科に在学する、日本国内に住所を有する方"
"10031","外国漁船の寄港の許可","　我が国漁業の正常な秩序を維持するため、外国漁船が我が国に寄港する場合、原則として農林水産大臣の許可が必要です。【外国人漁業の規制に関する法律第4条第1項本文】　特定漁獲物等（我が国漁業の正常な秩序の維持に支障を生ずる漁獲物等として政令でしたもの）の陸揚げ、転載を目的とした寄港は禁止されています。【同法第4条の2】","","**外国漁船**（外国漁船とは、日本船舶以外の船舶であって、「漁ろう設備を有する船舶」もしくは「漁業の用に供され、または漁場から漁獲物等を運搬している船舶」をいいます。）"
"10100","高等学校学び直し支援金（県立）","高等学校を中途退学した後、再び県立高等学校で学び直す者に対して、就学支援金の支給期間経過後も卒業までの間、納めるべき授業料に充てるための学び直し支援金が支給され、相殺することにより、授業料が実質無償となります。","","高等学校を中途退学した後、再び高等学校で学び直す方が対象となります。ただし、次のいずれかに該当する方は対象となりません。・日本国内に住所を有していない。・就学支援金の対象となったことがない。・所得による制限を超過している。・高校等（修業年限が3年未満のものを除く）を卒業または修了している。"
"10045","キャリア形成サポートセンター","キャリア形成サポートセンターは、「ジョブ・カード」の活用と「セルフ・キャリアドック」の導入推進により、従業員の自律的なキャリア形成を支援するとともに、企業の組織活性化や生産性の向上に向けたサポートします。オンラインを活用したセミナーの実施や個別相談を進めています。また、在職中の方にも、キャリアコンサルタントによるキャリアコンサルティングを無料で体験いただけます。","キャリア形成サポートセンターでは企業および在職中の方に以下の支援を行っています。### 企業向け支援① ジョブ・カードを活用した採用活動や従業員の人材育成などを実施する企業への支援② ジョブ・カードを活用した雇用型訓練の実施企業への支援③ セルフ・キャリアドックの導入支援(相談支援・技術的支援、セミナー･研修など。)* ジョブ・カードとは、個人が、自分自身を理解し、将来目指すキャリアを考えるツールのことです。キャリア面談や採用場面などで活用できます。* セルフ・キャリアドックとは、定期的なキャリアコンサルティングとキャリア研修などを組み合わせて行う、従業員のキャリア形成を促進・支援する総合的な仕組みのことです。具体的には、若手社員へのキャリアプラン作り、育児・介護など勤務に制約がある社員への家庭と仕事の両立を意識したキャリア形成支援、シニア社員への高齢期を見据えたキャリアの棚卸しと目標再設定支援などが挙げられます。企業にとっても人材の定着や従業員の意識向上を通じた組織活性化が期待されます。### 在職者向け支援ジョブ・カードを活用した在職者向けのキャリアコンサルティングを行います。（オンラインでの相談や土曜日・平日夜間の相談も行います。）","企業、在職労働者"
"10008","漁船の建造、改造および転用の許可","漁船を建造しようとする場合、改造しようとする場合、一般船舶を漁船に転用しようとする場合は、農林水産大臣または都道府県知事の許可が必要です。","","* 漁船を建造しようとする人* 自分の漁船を改造しようとする人* 漁船でない船舶を漁船として使用しようとする人"
"10146","在外教育施設の高等部の生徒への支援","授業料の負担を軽減するため、文部科学大臣の認定等を受けた在外教育施設の高等部に通う生徒を対象に、就学支援金相当額を支給する制度です。","■支給上限額・年収590～910万円未満程度:月額9,900円（年額118,800円）・年収590万円未満程度:月額24,750円（年額297,000円）","文部科学大臣の認定等を受けた在外教育施設に在学する、日本国籍を有する方"
"1480","住宅相談","福岡県民の住まい全般に関する幅広い相談に、一般財団法人福岡県建築住宅センターの専門の相談員や弁護士等が、無料でアドバイスします。","○一般相談・建築士の資格を持つ相談員による建築・住宅に関する相談。○法律相談・弁護士・建築士による住まいに関する法律や不動産などに関する相談。","・福岡県民で、住まいに関して相談したい方"
"10128","ハロートレーニング（公的職業訓練）","災害により離職した場合、無料で職業訓練が受けられます。また、訓練期間中の生活支援のための給付金が支給される制度もあります。","* 災害により離職した者が、再就職のための技能や知識を身につける必要がある場合、無料で職業訓練が受けられます。* また、一定の要件を満たす場合、訓練期間中の生活を支援するための給付金が支給される制度もあります。https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/koyou/kyushokusha_shien/index.html","* 災害により離職した者が、再就職のために職業訓練を受けて技能や知識を身につけることが必要で、かつその訓練を受けるために必要な能力等を有するなどの要件を満たしており、公共職業安定所長の受講あっせんを受けた者が対象です。"
"1032","住居確保給付金","生活困窮者自立支援法の規定に基づき、県(町村を所管)および市(各市を所管)では、離職や自営業の廃業により経済的に困窮し、住居を失う、または失うおそれがあり、今後の就職活動のために住居を確保する必要がある方に対して、家賃相当額を支給する「住居確保給付金事業」を実施しています。生活の土台となる住居を整えた上で、就職に向けた支援を行います。","＜支給要件＞以下の1～8全てに当てはまる方が対象になります。1:離職等により経済的に困窮し、住居喪失者または住居喪失のおそれのある者であること2:イ)申請日において、離職、廃業の日から2年以内であること、またはロ)就業している個人の給与その他の業務上の収入を得る機会が当該個人の責めに帰すべき理由、都合によらないで減少し、当該個人の就労の状況が離職または廃業の場合と同等程度の状況にあること3:離職等の日において、その属する世帯の生計を主として維持していたこと4:申請日の属する月における、申請者および申請者と同一の世帯に属する者の収入の合計額が、基準額(市町村民税非課税水準の月額分相当。各自治体によって異なる。)に、申請者の居住する賃貸住宅の家賃額(下記2の支給額が上限)を合算した額(収入基準額)以下であること［収入要件］5:申請日における、申請者および申請者と同一の世帯に属する者の所有する金融資産の合計額が基準額×6(ただし、100万円を超えないものとする)以下であること［資産要件］6:公共職業安定所または地方公共団体が設ける公的な無料職業紹介の窓口に求職の申込みをし、誠実かつ熱心に常用就職を目指した求職活動を行うこと7:国の雇用施策による給付(職業訓練受講給付金)または地方自治体等が実施する離職者等に対する住居の確保を目的とした類似の給付等を、申請者および申請者と同一の世帯に属する者が受けていないこと8:申請者および申請者と同一の世帯に属する者のいずれもが暴力団員による不当な行為の防止等に関する法律(平成3年法律第77号)第2条第6号に規定する暴力団員でないこと＜支給方法＞県または市から、月ごとに家賃額を不動産媒介業者等の口座に振り込みます。(代理受領)＜支給期間＞原則3か月(月々支給)ただし、一定の要件を満たす場合は3か月単位で2回まで延長が可能です。(最長9か月)＜支給額＞自治体によって、支給額の上限は異なります。また、世帯の収入が支給要件4の基準額を超える場合、調整を行い、一部支給となる場合があります。","(1)離職・廃業後2年以内の者(2)給与等を得る機会が当該個人の責めに帰すべき理由・当該個人の都合によらないで減少し、離職や廃業と同程度の状況にある者"
"2346","就職氷河期世代専門相談窓口","就職氷河期世代の仕事探しをサポートするため、群馬県若者就職支援センター（ジョブカフェぐんま）高崎センター内に「就職氷河期世代専門相談窓口」を開設しています。相談者への就労支援はもちろん、採用を考えている企業の方への相談・情報提供も行っています。開所日・受付時間　月～土曜日（年末年始、祝日を除く）10:00～17:00","就職氷河期世代専門相談窓口で、カウンセリングから職業紹介、就職後のフォローアップまで、専門のスタッフが相談を受け付けます。就職氷河期世代に特化した合同企業説明会で、企業と求職者との出会いの場を提供しています。職場見学・インターンシップで、受け入れたい企業と働きたい求職者のマッチングを図り、短期間の実習で企業との合性などを確認できます。","就職氷河期世代:バブル経済崩壊後の景気低迷期である1993~2004年頃に学卒期を迎えた方々就職氷河期世代の方の採用を考えている企業"
"10037","6次産業化・農山漁村発イノベーション","農山漁村発イノベーションとは、農林⽔産物や農林⽔産業に関わる多様な地域資源を活⽤し、新事業や付加価値を創出することによって、農⼭漁村における所得と雇⽤機会の確保を図る取組です。令和4年度からは、これまでの6次産業化を発展させ、地域の文化・歴史や森林、景観など農林水産物以外の多様な地域資源も活用し、農林漁業者のほか地元の企業など多様な主体の参画によって新事業や付加価値を創出する取組を支援しています。","1.農山漁村発イノベーション推進支援事業　2次・3次産業と連携した加工・直売にかかる商品開発、農林水産物や農林水産業に関わる多様な地域資源を新分野で活用した商品・サービスの開発、これらにかかる研究開発等を支援します。（上限500万円/事業実施主体）2.農山漁村発イノベーションサポート事業　　　(1) 中央サポートセンターにおいて、都道府県サポートセンターと連携した支援を実施するとともに、高度な専門家の派遣を通じた重点的な伴走支援や農山漁村で新事業を興す起業家と農山漁村のマッチングの取組等を支援します。(2) 都道府県サポートセンターによる農山漁村発イノベーションに取り組む事業者への伴走支援や地方公共団体による農山漁村発イノベーションに取り組む人材の育成等の取組等を支援します。3.農山漁村発イノベーション等整備事業　(1) 農山漁村活性化法に基づき、都道府県や市町村が作成した活性化計画の実現に向けて、農産物加工・販売施設、地域間交流拠点等の整備を支援します。(2) 六次産業化・地産地消法に基づき、農林漁業者の組織する団体等が作成した総合化事業計画等の実現に向けて、加工・販売施設等の整備を支援します。（詳細はこちら）https://www.maff.go.jp/j/nousin/inobe/attach/pdf/index-27.pdf","農林漁業者等、商工業者の組織する団体、民間事業者、公益社団法人、公益財団法人、一般社団法人、一般財団法人、特定非営利活動法人、企業組合、事業協同組合、市町村、市町村協議会、特認団体、都道府県　など（支援内容の項目1から3までごとに異なります。また、採択に当たって要件がありますので、以下の詳細を参考にしてください。）（詳細はこちら）https://www.maff.go.jp/j/nousin/inobe/attach/pdf/index-27.pdf"
"10048","弁護士費用の立替え等に係る民事法律扶助制度","法テラスにて、経済的に余裕のない方が法的トラブルにあったときに、無料法律相談、弁護士または司法書士費用の立替え等の援助を行います。","日本司法支援センター（法テラス）では、経済的に余裕のない方が法的トラブルにあったときに、次の援助を行います。* 弁護士または司法書士による無料法律相談（「法律相談援助」）* 裁判所における民事・家事および行政事件に関する手続またはそれに先立つ示談交渉等における弁護士または司法書士費用（着手金・実費等）の立替え（「代理援助」）* 裁判所に提出する書類の作成における司法書士または弁護士費用（報酬・実費等）の立替え（「書類作成援助」）","次の要件を満たしている場合に援助を受けることができます。※法律相談援助の場合は**1**と**3**、代理援助と書類作成援助の場合は**1**から**3**のいずれも満たす必要があります。**1**. 資力が一定額以下であること夫婦間の紛争の場合を除き、原則として、配偶者の収入・資産を加算した金額で判断します。1. 月収が一定額以下であること単身者 182,000 円以下（200,200 円以下）2人家族 251,000 円以下（276,100 円以下）3人家族 272,000 円以下（299,200 円以下）4人家族 299,000 円以下（328,900 円以下）※（ ）内は、東京、大阪などの大都市の基準です。※5人家族以上は、1人増につき30,000 円（33,000 円）が加算されます。※医療費、教育費などの出費がある場合は、相当額が控除されます。※家賃・住宅ローンを負担している場合は、上記収入基準に下記の限度内でその全額が加算されます（東京都特別区については、別途定めあり。）。単身者/41,000 円 2人家族/53,000 円3 人家族/66,000 円 4人家族以上/71,000 円2. 保有資産が一定額以下であること現金、預貯金、有価証券、不動産（自宅と係争物件を除く）などの保有資産の価値を合計して（法律相談援助の場合は、現金と預貯金のみの合計）、次の基準を満たす必要があります。単身者/180 万円以下 2人家族/250 万円以下3 人家族/270 万円以下 4人家族/300 万円以下※3か月以内に医療費、教育費などの出費がある場合は控除されます。**2**.  勝訴の見込みがないとはいえないこと和解、調停、示談成立等による紛争解決の見込みがあるもの、自己破産の免責見込みがあるものなども含みます。**3**. 民事法律扶助の趣旨に適すること報復的感情を満たすだけや宣伝のためといった場合、または権利濫用的な訴訟の場合などは援助できません。"
